unit_type,qty,pa,ua,ewh,total_mine_prod_bcm
DNDLSA6X8,6,0.9,0.63,4899,91276500
DREDGER 12/10,0,0.9,0.63,4899,91276500
DREDGERPUMP,7,0.9,0.63,4899,91276500
DRHY85160B,9,0.9,0.63,4899,91276500
EGS380-6,3,0.9,0.63,4899,91276500
EWP420,40,0.9,0.63,4899,91276500
KSB,6,0.9,0.63,4899,91276500
MEB420EXHV,30,0.9,0.63,4899,91276500
MF420E,12,0.9,0.63,4899,91276500
MF420EX,6,0.9,0.63,4899,91276500
MF420EXHV,20,0.9,0.63,4899,91276500
MFV290,2,0.9,0.63,4899,91276500
MFV290C,4,0.9,0.63,4899,91276500
MFV420EXHV,20,0.9,0.63,4899,91276500
RF85MW,10,0.9,0.63,4899,91276500
