load,haul,dump,return_time,cycle_time,km,bcm_per_hr
0.06,0.04,0.01,0.04,0.15,0.50,280
0.06,0.05,0.01,0.05,0.16,0.60,267
0.06,0.05,0.01,0.05,0.16,0.70,256
0.06,0.06,0.01,0.05,0.17,0.80,246
0.06,0.06,0.01,0.05,0.18,0.90,236
0.06,0.06,0.01,0.06,0.18,1.00,228
0.06,0.07,0.01,0.06,0.19,1.10,220
0.06,0.07,0.01,0.06,0.20,1.20,212
0.06,0.08,0.01,0.07,0.21,1.30,205
0.06,0.08,0.01,0.07,0.21,1.40,198
0.06,0.08,0.01,0.07,0.22,1.50,192
0.06,0.09,0.01,0.07,0.23,1.60,186
0.06,0.09,0.01,0.08,0.23,1.70,181
0.06,0.10,0.01,0.08,0.24,1.80,175
0.06,0.10,0.01,0.08,0.25,1.90,171
0.06,0.10,0.01,0.09,0.25,2.00,166
0.06,0.11,0.01,0.09,0.26,2.10,162
0.06,0.11,0.01,0.09,0.27,2.20,157
0.06,0.12,0.01,0.09,0.27,2.30,153
0.06,0.12,0.01,0.10,0.28,2.40,150
0.06,0.12,0.01,0.10,0.29,2.50,146
0.06,0.13,0.01,0.10,0.29,2.60,143
0.06,0.13,0.01,0.11,0.30,2.70,140
0.06,0.14,0.01,0.11,0.31,2.80,136
0.06,0.14,0.01,0.11,0.31,2.90,133
0.06,0.14,0.01,0.11,0.32,3.00,131
0.06,0.15,0.01,0.12,0.33,3.10,128
0.06,0.15,0.01,0.12,0.34,3.20,125
0.06,0.16,0.01,0.12,0.34,3.30,123
0.06,0.16,0.01,0.13,0.35,3.40,120
0.06,0.16,0.01,0.13,0.36,3.50,118
0.06,0.17,0.01,0.13,0.36,3.60,116
0.06,0.17,0.01,0.13,0.37,3.70,114
0.06,0.18,0.01,0.14,0.38,3.80,112
0.06,0.18,0.01,0.14,0.38,3.90,110
0.06,0.18,0.01,0.14,0.39,4.00,108
0.06,0.19,0.01,0.15,0.40,4.10,106
0.06,0.19,0.01,0.15,0.40,4.20,104
0.06,0.20,0.01,0.15,0.41,4.30,102
0.06,0.20,0.01,0.15,0.42,4.40,101
0.06,0.20,0.01,0.16,0.42,4.50,99
0.06,0.21,0.01,0.16,0.43,4.60,97
0.06,0.21,0.01,0.16,0.44,4.70,96
0.06,0.22,0.01,0.17,0.45,4.80,94
0.06,0.22,0.01,0.17,0.45,4.90,93
0.06,0.22,0.01,0.17,0.46,5.00,92
0.06,0.23,0.01,0.17,0.47,5.10,90
0.06,0.23,0.01,0.18,0.47,5.20,89
0.06,0.24,0.01,0.18,0.48,5.30,88
0.06,0.24,0.01,0.18,0.49,5.40,86
0.06,0.24,0.01,0.19,0.49,5.50,85
0.06,0.25,0.01,0.19,0.50,5.60,84
0.06,0.25,0.01,0.19,0.51,5.70,83
0.06,0.26,0.01,0.19,0.51,5.80,82
0.06,0.26,0.01,0.20,0.52,5.90,81
0.06,0.26,0.01,0.20,0.53,6.00,80
0.06,0.27,0.01,0.20,0.53,6.10,79
0.06,0.27,0.01,0.21,0.54,6.20,78
0.06,0.28,0.01,0.21,0.55,6.30,77
0.06,0.28,0.01,0.21,0.55,6.40,76
0.06,0.28,0.01,0.21,0.56,6.50,75
0.06,0.29,0.01,0.22,0.57,6.60,74
0.06,0.29,0.01,0.22,0.58,6.70,73
0.06,0.30,0.01,0.22,0.58,6.80,72
0.06,0.30,0.01,0.23,0.59,6.90,71
0.06,0.30,0.01,0.23,0.60,7.00,70
0.06,0.31,0.01,0.23,0.60,7.10,70
0.06,0.31,0.01,0.23,0.61,7.20,69
0.06,0.32,0.01,0.24,0.62,7.30,68
0.06,0.32,0.01,0.24,0.62,7.40,67
0.06,0.32,0.01,0.24,0.63,7.50,67
0.06,0.33,0.01,0.25,0.64,7.60,66
0.06,0.33,0.01,0.25,0.64,7.70,65
0.06,0.34,0.01,0.25,0.65,7.80,65
0.06,0.34,0.01,0.25,0.66,7.90,64
0.06,0.34,0.01,0.26,0.66,8.00,63
0.06,0.35,0.01,0.26,0.67,8.10,63
0.06,0.35,0.01,0.26,0.68,8.20,62
0.06,0.36,0.01,0.27,0.69,8.30,61
0.06,0.36,0.01,0.27,0.69,8.40,61
0.06,0.36,0.01,0.27,0.70,8.50,60
0.06,0.37,0.01,0.27,0.71,8.60,60
0.06,0.37,0.01,0.28,0.71,8.70,59
0.06,0.38,0.01,0.28,0.72,8.80,58
0.06,0.38,0.01,0.28,0.73,8.90,58
0.06,0.38,0.01,0.29,0.73,9.00,57
0.06,0.39,0.01,0.29,0.74,9.10,57
0.06,0.39,0.01,0.29,0.75,9.20,56
0.06,0.40,0.01,0.29,0.75,9.30,56
0.06,0.40,0.01,0.30,0.76,9.40,55
0.06,0.40,0.01,0.30,0.77,9.50,55
0.06,0.41,0.01,0.30,0.77,9.60,54
0.06,0.41,0.01,0.31,0.78,9.70,54
0.06,0.42,0.01,0.31,0.79,9.80,53
0.06,0.42,0.01,0.31,0.79,9.90,53
0.06,0.42,0.01,0.31,0.80,10.00,52
0.06,0.43,0.01,0.32,0.81,10.10,52
0.06,0.43,0.01,0.32,0.82,10.20,52
0.06,0.44,0.01,0.32,0.83,10.30,51
0.06,0.44,0.01,0.33,0.83,10.40,51
