MERK,TYPE,ACTIVITY,Fuel Tank Cap. L, Average , Low , Mid , High 
ZS1EPRD528-4141,"TRUCK, DUMP, HINO, ZS1EPRD528-4141",HAULING,,  30 ,  24 ,  30 ,  36 
ZS1EPPD-4141,"TRUCK, DUMP, HINO, ZS1EPPD-4141",HAULING,,  30 ,  24 ,  30 ,  36 
XMT 650,"WELDING MACHINE, ELECTRIC, MILLER, XMT 650, 650A @ 100%",SUPPORT,,  1 ,  1 ,  1 ,  1 
Western Star,WS-6900XD ,HAULING,,  38 ,  35 ,  38 ,  41 
WARMAN,Water Pump,SUPPORT,,  8 ,  5 ,  8 ,  10 
WARMAN,Dewatering Pump,SUPPORT,,  8 ,  5 ,  8 ,  10 
VOLVO TAD1643VE-HD,KSB LCC-H200,SUPPORT,,  25 ,  20 ,  25 ,  30 
VOLVO TAD1643VE-HD,VOLVO TAD1643VE-HD,SUPPORT,,  25 ,  20 ,  25 ,  30 
VOLVO TAD1643VE,KSB LCC-H200,SUPPORT,,  25 ,  20 ,  25 ,  30 
VOLVO TAD1642VE,KSB LCC-H200,SUPPORT,,  25 ,  20 ,  25 ,  30 
VOLVO TAD1343VE,KSB LCC-H150,SUPPORT,,  25 ,  20 ,  25 ,  30 
Volvo FM440,"TRUCK, LIGHT, VOLVO , FM440,36T",HAULING,,  30 ,  24 ,  30 ,  36 
Volvo FM440,"TRUCK, LIGHT, VOLVO , FM440,33T",HAULING,,  30 ,  24 ,  30 ,  36 
Volvo FM440,"TRUCK, LIGHT, VOLVO , FM440,35T",HAULING,,  30 ,  24 ,  30 ,  36 
Volvo FM440,"TRUCK, LIGHT, VOLVO , FM440,37T",HAULING,,  30 ,  24 ,  30 ,  36 
Volvo FM440,"TRUCK, LIGHT, VOLVO , FM440,34T",HAULING,,  30 ,  24 ,  30 ,  36 
Volvo FM440,"TRUCK, LIGHT, VOLVO , FM440,42T",HAULING,,  30 ,  24 ,  30 ,  36 
VOLVO,VOLVO FH 16,HAULING,,  35 ,  30 ,  35 ,  40 
VOLVO,VOLVO FH 610,HAULING,,  35 ,  30 ,  35 ,  40 
Volvo,FH16-550HP,SUPPORT,,  25 ,  20 ,  25 ,  30 
Volvo,FMX 440 66R / (ST),SUPPORT,,  25 ,  20 ,  25 ,  30 
Volvo,PS120,SUPPORT,,  25 ,  20 ,  25 ,  30 
VOLVO,FMX440,HAULING,,  30 ,  24 ,  30 ,  36 
VOLVO,FMX440AM,SUPPORT,,  44 ,  35 ,  44 ,  53 
VOLVO,FM9CT,SUPPORT,,  24 ,  18 ,  27 ,  32 
Volvo,P380CB6X6EHZ,SUPPORT,,  48 ,  38 ,  48 ,  57 
VOLVO,FMX370,SUPPORT,,  40 ,  32 ,  40 ,  48 
Volvo,FMX440CT,SUPPORT,,  44 ,  35 ,  44 ,  53 
Volvo,FMX440,SUPPORT,,  44 ,  35 ,  44 ,  53 
VOLVO,Fuel Truck,SUPPORT,,  24 ,  18 ,  24 ,  30 
VOLVO,Crane Truck,SUPPORT,,  24 ,  18 ,  24 ,  30 
TOYOTA,Innova G DIESEL,SUPPORT,,  1 ,  1 ,  1 ,  1 
TOYOTA,TOYOTA,SUPPORT,,  1 ,  1 ,  1 ,  1 
Toyota,Toyota Hilux Diesel  2.4G Double Cabin 4x4,SUPPORT,,  1 ,  1 ,  1 ,  1 
Towerlamp,PL30P,SUPPORT,,  2 ,  1 ,  2 ,  2 
Telehandler,JCB5AF-540-1,SUPPORT,,  12 ,  10 ,  12 ,  14 
TD2011L04W,"WELDER, DIESEL, MILLER BIG BLUE, AIR PAK",SUPPORT,,  1 ,  1 ,  1 ,  1 
Tadano,ATF50G-3,SUPPORT,,  40 ,  32 ,  40 ,  48 
Sykes,HH150,SUPPORT,,  20 ,  15 ,  20 ,  25 
STRADA-TRITON,"LV, AMBULANCE, MITSUBISHI, TRITON 4X4",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"LV, MITSUBISHI, TRITON-HDX, 4X4 (ERT)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, PAJERO SPORT-GLX, 4x4 (PM03)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (ADM 01)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG 05)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG02)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG06)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG10)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG11)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG13)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (AMG15)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (D&B02)",SUPPORT,,  1 ,  1 ,  1 ,  1 
STRADA-TRITON,"MITSUBISHI, TRITON, 4X4, HDX (ENG04)",SUPPORT,,  1 ,  1 ,  1 ,  1 
