unit_type,qty,pa,ua,ewh,fuel_cons_lhr,prod_bcm,fuel_ratio
CAT14M3,3,0.9,0.53,4121,16.0,91276500,0.22
D155-6,8,0.9,0.53,4121,29.0,,
D155A6A,4,0.9,0.53,4121,29.0,,
D155A6R,36,0.9,0.53,4121,29.0,,
D375-6,10,0.9,0.53,4121,67.0,,
D375A6R,20,0.9,0.53,4121,67.0,,
D85ESS-2,0,0.9,0.53,4121,27.0,,
GD825A2,49,0.9,0.53,4121,29.0,,
FMX440FT,20,0.9,0.53,4121,44.0,,
FMX440WT,2,0.9,0.53,4121,23.0,,
HD7857OTD,0,0.9,0.53,4121,77.0,,
HD7857WT,22,0.9,0.53,4121,77.0,,
P360CB6X6WT,6,0.9,0.53,4121,26.0,,
P360CB6X6,3,0.9,0.53,4121,26.0,,
